,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
702,Asia Post,@AsiaPost3,2023-01-13T01:32:13.000Z,"Asia Post
@AsiaPost3
·
13 Jan","Shah reviews Joshimath crisis, 2 hotels razed
asiapost.live
Shah reviews Joshimath crisis, 2 hotels razed - Asia Post
NEW DELHI: Union home minister Amit Shah on Thursday chaired a high-level meeting to review the situation on the sinking town of Joshimath here, even as the local administration began demolishing two...
12",,,,,[],https://twitter.com/AsiaPost3/status/1613710474956214272
703,The Newsmen,@the_newsmen,2023-01-13T03:52:26.000Z,"The Newsmen
@the_newsmen
·
13 Jan","National Remote Sensing Centre (#NRSC) of the #IndianSpaceResearchOrganisation (
@isro
) has released satellite images of #Joshimath  and preliminary report on land subsidence which shows that the entire town may sink
 #JoshimathIsSinking #Joshimathcrisis
thenewsmen.co.in
ISRO report shows entire Joshimath may sink
The pictures are taken from the Cartosat-2S satellite. Hyderabad-based NRSC has released the satellite images of areas that are sinking. In images, the entire town, including the Army's helipad and...
75",,,,,['https://pbs.twimg.com/card_img/1616345646318895108/oPhwWj3e?format=jpg&name=small'],https://twitter.com/the_newsmen/status/1613745762411905025
704,Yes Punjab,@BawaHS,2023-01-13T06:17:50.000Z,"Yes Punjab
@BawaHS
·
13 Jan","ISRO report shows entire Joshimath may sink https://yespunjab.com/?p=757837

#Joshimath #JoshimathCrisis #JoshimathCracks #JoshimathSinking #ISRO #NRSC #Uttarakhand 
@isro
91",,,,,[],https://twitter.com/BawaHS/status/1613782354941874176
705,Scoop Beats,@thescoopbeats,2023-01-13T15:28:41.000Z,"Scoop Beats
@thescoopbeats
·
13 Jan","Joshimath Crisis: ISRO Satellite Report Shows How the Entire Town Is About to Collapse
thescoopbeats.com
Joshimath Crisis: ISRO Satellite Report Shows How the Entire Town Is About to Collapse - Scoop Beats
Joshimath Crisis: According to the ISRO report, the land subsidence was slow between April and November 2022.
63",,,,,['https://pbs.twimg.com/card_img/1613920988634259456/SU56ORTY?format=jpg&name=small'],https://twitter.com/thescoopbeats/status/1613920981529120770
706,ramani.n.v.,@ramaninv,2023-01-13T13:01:56.000Z,"ramani.n.v.
@ramaninv
·
13 Jan","Foreign, Indian satellite images showed Joshimath sinking https://moneylife.in/article/foreign-indian-satellite-images-showed-joshimath-sinking/69502.html… via 
@MoneylifeIndia
moneylife.in
Foreign, Indian satellite images showed Joshimath sinking
India's National Remote Sensing Centre (NRSC) came out with its report on land subsidence at Joshimath after studying the images captured by the European Space Agency's satellite Sentinel-1 SAR.
13",,,,,['https://pbs.twimg.com/card_img/1613865725403484162/DQeoyHRQ?format=jpg&name=small'],https://twitter.com/ramaninv/status/1613884051223646216
707,Ishant Mehta,@Ishantmehta8929,2023-01-13T05:32:56.000Z,"Ishant Mehta
@Ishantmehta8929
·
13 Jan","Isro releases images: Joshimath sank 5.4cm in 12 days, entire town may sink | Dehradun News – Times of India
ndtvnewsindia.com
Isro releases images: Joshimath sank 5.4cm in 12 days, entire town may sink | Dehradun News - Times...
NEW DELHI/DEHRADUN: Uttarakhand chief minister Pushkar Singh Dhami is holding a cabinet meeting today and may announce some important decisions regarding
12",,,,,[],https://twitter.com/Ishantmehta8929/status/1613771055071625217
708,KunalVM,@Kunal_Verma_pb,2023-01-13T06:54:46.000Z,"KunalVM
@Kunal_Verma_pb
·
13 Jan","Joshimath crisis: Demolition drive halted, locals angry over less compensation https://hindupost.in/news/joshimath-crisis-demolition-drive-halted-locals-angry-over-less-compensation/… via 
@HinduPost
hindupost.in
Joshimath crisis: Demolition drive halted, locals angry over less compensation
While the cracks that have appeared in the buildings of Joshimath are widening, the administration has been facing the opposition of the affected people in
4",,,,,[],https://twitter.com/Kunal_Verma_pb/status/1613791650408697856
709,suman shrivastava,@sumansh88170019,2023-01-13T06:52:29.000Z,"suman shrivastava
@sumansh88170019
·
13 Jan","ISRO releases satellite images, warns entire Joshimath town may sink via 
@LagatarEnglish
 @isro
 @pushkardhami
lagatar24.com
ISRO releases satellite images, warns entire Joshimath town may sink
Lagatar24 Desk   New Delhi, Jan 13: The National Remote Sensing Centre (NRSC) of the Indian Space Research Organisation (ISRO)
8",,,,,['https://pbs.twimg.com/card_img/1616345655647117314/Gnrb876D?format=jpg&name=small'],https://twitter.com/sumansh88170019/status/1613791072517488640
710,Ankit Rawat,@ankitrawat,2023-01-13T08:22:09.000Z,"Ankit Rawat
@ankitrawat
·
13 Jan","Joshimath Landslide, About 5.4 cm land sunk in 12 days, ISRO’s report
wildhawk.in
Joshimath Landslide, About 5.4 cm land sunk in 12 days, ISRO's report - WildHawk
ISRO has issued a report regarding the Joshimath landslide; it has been told that the land of Joshimath has sunk 5.4 cm in 12 days.
15",,,,,[],https://twitter.com/ankitrawat/status/1613813637730209793
711,coastaldigest.com,@coastaldigest,2023-01-13T07:07:38.000Z,"coastaldigest.com
@coastaldigest
·
13 Jan","Entire Joshimath town including Army helipad and Narasimha temple may sink: ISRO report
coastaldigest.com
Entire Joshimath town including Army helipad and Narasimha temple may sink: ISRO report
The National Remote Sensing Centre (NRSC) of the Indian Space Research Organisation (ISRO) has released satellite images of Joshimath and a preliminary report on land subsidence which shows that the...
18",,,,,[],https://twitter.com/coastaldigest/status/1613794887643848704
712,TheNewsMill.com - News from #NortheastIndia,@The_NewsMill,2023-01-13T02:35:03.000Z,"TheNewsMill.com - News from #NortheastIndia
@The_NewsMill
·
13 Jan","PM Modi concerned about Joshimath crisis: Defence Minister Rajnath Singh - https://thenewsmill.com/2023/01/pm-modi-concerned-about-joshimath-crisis-defence-minister-rajnath-singh/… via 
@the_newsmill
thenewsmill.com
PM Modi concerned about Joshimath crisis: Defence Minister Rajnath Singh
Defence Minister Rajnath Singh on Thursday said that the Prime Minister is personally distressed about the land subsidence in Uttarakhand's Joshimath.He further added that the Uttarakhand CM Pushkar...
27",,,,,[],https://twitter.com/The_NewsMill/status/1613726286807171073
713,India News Online,@IndiaNewsOnlin3,2023-01-13T01:26:14.000Z,"India News Online
@IndiaNewsOnlin3
·
13 Jan","Joshimath crisis: Demolition of 2 unsafe hotels begin amid evacuation
indianews-online.com
Joshimath disaster: Demolition of 2 unsafe hotels begin amid evacuation
The course of of demolishing two ""unsafe"" hotels in subsidence-hit Joshimath started on Thursday, two days after the train
14",,,,,[],https://twitter.com/IndiaNewsOnlin3/status/1613708969394028546
714,mahesh kumar bubna,@maheshbubna,2023-01-13T07:31:11.000Z,"mahesh kumar bubna
@maheshbubna
·
13 Jan","Joshimath sank 5.4cm in 12 days, ISRO releases satellite images

Joshimath sank 5.4cm in 12 days, ISRO releases satellite images

India News
By Poulomi Ghosh
Updated on Jan 13, 2023 07:29 AM IST
Report published in Hindusthan Times

htt
flip.it
Joshimath sank 5.4cm in 12 days, ISRO releases satellite images
The National Remote Sensing Centre of the Indian Space Research Organisation has released satellite images of Joshimath, the Uttarakhand town gradually sinking because of land subsidence, and …
7",,,,,['https://pbs.twimg.com/card_img/1613701621862760449/xjmb9Q7U?format=jpg&name=small'],https://twitter.com/maheshbubna/status/1613800811150336001
715,NowMyNews,@NowMyNews,2023-01-13T02:34:05.000Z,"NowMyNews
@NowMyNews
·
13 Jan","Joshimath sinks in the Indian Himalayas; Cracks in homes force evacuations - The Washington Post
https://spamchronicles.com/joshimath-sinks-in-the-indian-himalayas-cracks-in-homes-force-evacuations-the-washington-post/?feed_id=364762…

#LatestNews
6",,,,,['https://pbs.twimg.com/media/FmUbSOFWIAEyaPl?format=jpg&name=small'],https://twitter.com/NowMyNews/status/1613726045701636096
716,TheNewsMill.com - News from #NortheastIndia,@The_NewsMill,2023-01-13T08:40:02.000Z,"TheNewsMill.com - News from #NortheastIndia
@The_NewsMill
·
13 Jan","Slow subsidence up to 9 cm recorded in Joshimath in 7 months: ISRO report - https://thenewsmill.com/2023/01/slow-subsidence-up-to-9-cm-recorded-in-joshimath-in-7-months-isro-report/… via 
@the_newsmill
thenewsmill.com
Slow subsidence up to 9 cm recorded in Joshimath in 7 months: ISRO report
Slow subsidence up to 9 cm is recorded in Joshimath town over a period of seven months, between April and November 2022, according to the Indian Space Research Organisation (ISRO) satellite-based...
14",,,,,[],https://twitter.com/The_NewsMill/status/1613818141330804737
717,Brijinder Singh,@BrijinderSing11,2023-01-13T05:01:52.000Z,"Brijinder Singh
@BrijinderSing11
·
13 Jan","After Joshimath, houses in Uttarakhand's Tehri Garhwal develop cracks, locals demand government intervention.

Read more At:
aninews.in
After Joshimath, houses in Uttarakhand's Tehri Garhwal develop cracks, locals demand government...
The joshimath-like situation is now being seen in Tehri district as well. On one hand landslides are happening in the villages adjacent to Tehri lake, now in Chamba also cracks have increased in the...
26",😒 😒 😒,,,,[],https://twitter.com/BrijinderSing11/status/1613763236448595968
718,MitraDebu,@MitraDebu1,2023-01-13T07:34:26.000Z,"MitraDebu
@MitraDebu1
·
13 Jan","Entire Joshimath may sink, shows ISRO report https://deccanherald.com/national/north-and-central/entire-joshimath-may-sink-shows-isro-report-1180612.html… 
@deccanherald
deccanherald.com
Entire Joshimath may sink, shows ISRO report
The National Remote Sensing Centre (NRSC) of the Indian Space Research Organisation (ISRO) has released satellite images of Joshimath and a preliminary report on land subsidence which shows that the
15",🌴 🪴 🌴 🪴,,,,['https://pbs.twimg.com/card_img/1616326544443736065/MNchnhmh?format=jpg&name=small'],https://twitter.com/MitraDebu1/status/1613801631250001920
719,Ankit Rawat,@ankitrawat,2023-01-13T07:20:25.000Z,"Ankit Rawat
@ankitrawat
·
13 Jan","Joshimath is sinking about two and a half inches yearly. IIRS scientists released a satellite study report
wildhawk.in
Joshimath is sinking about two and a half inches yearly. IIRS scientists released a satellite study...
January 13, 2023 – Joshimath is sinking yearly by 6.62 cm, i.e. about 2.60 inches. The Indian Institute of Remote Sensing (IIRS) has given this
13",,,,,['https://pbs.twimg.com/card_img/1616345327329771520/IerkFJYn?format=jpg&name=small'],https://twitter.com/ankitrawat/status/1613798102783115270
720,TheNewsMill.com - News from #NortheastIndia,@The_NewsMill,2023-01-13T04:45:03.000Z,"TheNewsMill.com - News from #NortheastIndia
@The_NewsMill
·
13 Jan","Land subsidence: HC asks Uttarakhand govt to impose ban on construction work in Joshimath - https://thenewsmill.com/2023/01/land-subsidence-hc-asks-uttarakhand-govt-to-impose-ban-on-construction-work-in-joshimath/… via 
@the_newsmill
thenewsmill.com
Land subsidence: HC asks Uttarakhand govt to impose ban on construction work in Joshimath
A Uttarakhand High Court on Thursday asked the state government to strictly implement the ban on construction in Joshimath.Hearing a PIL on the crisis, a division bench of Chief Justice Vipin Sanghi...
19",,,,,[],https://twitter.com/The_NewsMill/status/1613759002990739463
721,newspointJ&K,@NewspointjK,2023-01-13T10:33:49.000Z,"newspointJ&K
@NewspointjK
·
13 Jan","Slow subsidence up to 9 cm recorded in Joshimath in 7 months: ISRO report https://jknewspoint.com/slow-subsidence-up-to-9-cm-recorded-in-joshimath-in-7-months-isro-report/… via 
@JK
 Newspoint
jknewspoint.com
Slow subsidence up to 9 cm recorded in Joshimath in 7 months: ISRO report
Slow subsidence up to 9 cm is recorded in Joshimath town over a period of seven months, between April and November 2022, according to the Indian Space Research
48",,,,,[],https://twitter.com/NewspointjK/status/1613846776032952320
