,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
163,Scroll.in,@scroll_in,2023-01-09T12:37:31.000Z,"Scroll.in
@scroll_in
·
9 Jan","More than 600 houses in #Joshimath have developed cracks due to land subsidence, which refers to the ground slowly sinking. Around 68 families have been moved to temporary shelters so far.

Read more: https://scroll.in/latest/1041508/joshimath-declared-disaster-prone-after-large-cracks-in-homes…

#Uttrakhand
1
8
1,683",,,1,8,['https://pbs.twimg.com/media/FmB_BZQagAIN4Ep?format=jpg&name=small'],https://twitter.com/scroll_in/status/1612428351771381762
164,Hindustan Times,@htTweets,2023-01-09T11:25:11.000Z,"Hindustan Times
@htTweets
·
9 Jan","#InPics | CM Pushkar Singh Dhami is meeting the officials of the National Disaster Management Authority (NDMA) at the CM camp Office pertaining to the #Joshimath issue.

(via ANI)
1
25
5,770",,1,,25,"['https://pbs.twimg.com/media/FmBuYZiakAAkSxn?format=jpg&name=small', 'https://pbs.twimg.com/media/FmBuYZuaMAALE4q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FmBuYZxaYAAzVc6?format=jpg&name=360x360']",https://twitter.com/htTweets/status/1612410151470006272
165,ANI Digital,@ani_digital,2023-01-09T15:54:12.000Z,"ANI Digital
@ani_digital
·
9 Jan","Uttarakhand: Home Ministry's team to visit Joshimath tomorrow for inspection

Read 
@ANI
 Story | https://aninews.in/news/national/general-news/uttarakhand-home-ministrys-team-to-visit-joshimath-tomorrow-for-inspection20230109205815/…
#Joshimath #JoshimathSubsidence #joshimathsinking  #Uttarakhand
13
1,629",,,,13,['https://pbs.twimg.com/media/FmCrvRaaEAAO-Bg?format=png&name=small'],https://twitter.com/ani_digital/status/1612477849155534849
166,Aarti Khosla,@a_khosla,2023-01-09T14:15:36.000Z,"Aarti Khosla
@a_khosla
·
9 Jan","#joshimath town sinking is a grave example of creating ‘assets’ in an uncoordinated unthinking manner. It’s become a big issue to not be ignored. #climate impacts, geological factors& weather all have a part to play. How can we avert more such disasters ?
infra.economictimes.indiatimes.com
Experts blame Joshimath disaster to rampant infrastructure development, Infra News, ET Infra
The appearance of cracks on roads and houses across Joshimath in Uttarakhand is mainly due to the rampant infrastructure development that is happening in a very fragile ecosystem like Himalayas,...
4
4
329",,,4,4,['https://pbs.twimg.com/card_img/1615018336961847298/3OJip1_S?format=jpg&name=small'],https://twitter.com/a_khosla/status/1612453035917066240
167,Express Explained,@ieexplained,2023-01-09T03:05:00.000Z,"Express Explained
@ieexplained
·
9 Jan","The appearance of cracks on many roads and houses across #Joshimath, due to land subsidence, is neither a new phenomenon in this region — nor a reversible one.

Read how the alarm bells had been going off for decades. #ExpressExplained
indianexpress.com
Loose soil, tremors, choked drainage: How Joshimath alarm bells rang for years
The main problem in Joshimath has been the fact that the town has come up on relatively loose soil, deposited by landslides triggered by earthquakes.
7
696",🔍,,,7,['https://pbs.twimg.com/card_img/1614437814187315200/0lddcC2o?format=jpg&name=small'],https://twitter.com/ieexplained/status/1612284273939070976
168,TIMES NOW,@TimesNow,2023-01-09T12:20:14.000Z,"TIMES NOW
@TimesNow
·
9 Jan","#JoshimathEmergency

#Central #Govt team report suggests 500m landslide debris under sinking #Joshimath causing subsidence.
timesnownews.com
Central govt team report suggests 500m landslide debris under sinking Joshimath causing subsidence
NTPC tunnels may be the reason of the sinking episodes in the town where four out of the nine wards have been determined to be damaged, according to government sources. Joshimath in the Garhwal...
2
15
2,894",,,2,15,['https://pbs.twimg.com/card_img/1614967437136629766/FmrDrOl0?format=jpg&name=small'],https://twitter.com/TimesNow/status/1612424002970214400
169,Lagatar English,@LagatarEnglish,2023-01-09T07:11:27.000Z,"Lagatar English
@LagatarEnglish
·
9 Jan","Joshimath subsidence: PM has assured all possible help, says Uttarakhand CM Dhami 
#PMModi #CMDhami #Joshimath #JoshimathIsSinking
lagatar24.com
Joshimath subsidence: PM has assured all possible help, says Uttarakhand CM Dhami
LAGATAR24 NETWORK   Dehradun, Jan 9: Uttarakhand Chief Minister Pushkar Singh Dhami on Monday said Prime Minister Narendra Modi has
2
54",,,,2,['https://pbs.twimg.com/card_img/1615598166061252611/45CPQewp?format=jpg&name=small'],https://twitter.com/LagatarEnglish/status/1612346293774602241
170,News18,@CNNnews18,2023-01-09T09:26:59.000Z,"News18
@CNNnews18
·
9 Jan","#LIVE | Panic in #Joshimath as natural calamity takes over #Uttarkhand; and more top stories this hour!
News18
@CNNnews18
#LIVE | Watch top stories
1
4
1,953",,,1,4,"['https://pbs.twimg.com/card_img/1615580748655779842/HlXyBMcg?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1559788694709473280/j1s3zm5m_mini.jpg']",https://twitter.com/CNNnews18/status/1612380402366414850
171,Aman Sharma,@AmanKayamHai_,2023-01-09T08:10:40.000Z,"Aman Sharma
@AmanKayamHai_
·
9 Jan","Poor Drainage, Reckless Construction or NTPC Tunnel? Why #Joshimath is on Brink Of Collapse — detailed story by 
@Srish__T
 & me after speaking to experts #JoshimathIsSinking

Read here 
@CNNnews18
news18.com
Poor Drainage, Reckless Construction or NTPC Tunnel? Why Joshimath is on Brink Of Collapse
Joshimath: Why is the land of Joshimath cracking? joshimath is not sinking due to the tunnel ntpc clarified ntc, What is land subsidence? Latest Updates Joshimath at news18.com
5
6
756",,,5,6,['https://pbs.twimg.com/card_img/1614909295971434496/GL92kqkL?format=jpg&name=small'],https://twitter.com/AmanKayamHai_/status/1612361199374700544
172,Hindustan Times,@htTweets,2023-01-09T12:53:40.000Z,"Hindustan Times
@htTweets
·
9 Jan","#Uttarakhand Congress demanded from the Centre that a ‘new #Joshimath town’ be built nearby and the existing town is to be protected, given its immense religious importance.
hindustantimes.com
Uttarakhand Congress demands ‘new Joshimath’, blames BJP for calamity
Demanding that the land subsidence in Joshimath be declared a national disaster, the Congress leader said that people whose houses and commercial establishments were affected should be compensated on...
3
6
2,480",,,3,6,['https://pbs.twimg.com/card_img/1614998091232321537/zaAC1WsO?format=jpg&name=small'],https://twitter.com/htTweets/status/1612432417343827969
